Date,GDP-ARE,GDP-AUS,GDP-AUT,GDP-BRA,GDP-CAN,GDP-CHE,GDP-CHN,GDP-DEU,GDP-EGY,GDP-ESP,GDP-FIN,GDP-FRA,GDP-GBR,GDP-IND,GDP-IRL,GDP-IRN,GDP-ISR,GDP-ITA,GDP-JPN,GDP-KOR,GDP-MEX,GDP-MYS,GDP-NLD,GDP-NOR,GDP-PAK,GDP-PRK,GDP-PRT,GDP-PSE,GDP-RUS,GDP-SAU,GDP-SWE,GDP-SYR,GDP-TUR,GDP-UKR,GDP-USA
Sep-15,6.581197893,2.233621203,0.986797371,-3.228138363,0.824362819,1.699941694,7.071480626,1.548214814,4.257814592,3.64693115,0.472399026,1.100619847,2.29677002,7.950290948,23.24809611,-0.922166507,2.598242023,0.716904202,1.461456408,2.83995429,2.686750098,5.163311992,1.917148205,1.872303826,4.209980219,,1.713625987,3.417051332,-1.760249701,4.454342493,4.345635838,-4.660618931,5.994700885,-9.796979979,2.912473542
Oct-15,6.786772877,2.201810153,1.014501586,-3.545763393,0.649970994,1.644627687,7.041328879,1.491931528,4.372019078,3.838518877,0.543659212,1.112912341,2.220258322,7.996253786,24.47525334,-1.424884939,2.485826289,0.778304351,1.560626697,2.809103268,2.702323426,5.091532422,1.959169721,1.857339726,4.217942096,,1.792046046,3.721299671,-1.972719226,4.509059063,4.489281588,-4.179791613,6.084486904,-9.772987213,2.945550455
Nov-15,6.690672318,2.247091132,1.090967121,-3.524598963,0.680447852,1.67788745,7.02622561,1.549819241,4.370028833,3.775715368,0.721525765,1.111543875,2.196792055,8.016649999,22.69410067,-0.621749913,2.645501114,0.81870893,1.497348269,2.819909421,2.629395568,5.041199008,1.977408466,1.803016943,4.402718267,,1.809884426,4.124697251,-1.802804771,4.303210724,4.299580534,-4.354364094,5.867906301,-8.815028848,2.857228966
Dec-15,6.59457176,2.29237211,1.167432657,-3.503434532,0.71092471,1.711147213,7.011122342,1.607706954,4.368038588,3.712911859,0.899392318,1.110175409,2.173325788,8.037046212,20.91294801,0.181385113,2.805175939,0.859113508,1.434069842,2.830715574,2.55646771,4.990865594,1.995647211,1.748694159,4.587494439,,1.827722806,4.528094832,-1.632890316,4.097362384,4.10987948,-4.528936574,5.651325697,-7.857070482,2.768907477
Jan-16,6.498471202,2.337653088,1.243898192,-3.482270102,0.741401568,1.744406976,6.996019073,1.665594666,4.366048343,3.650108351,1.077258872,1.108806944,2.14985952,8.057442425,19.13179535,0.984520139,2.964850764,0.899518087,1.370791414,2.841521726,2.483539852,4.940532181,2.013885956,1.694371376,4.772270611,,1.845561187,4.931492412,-1.462975862,3.891514045,3.920178426,-4.703509055,5.434745094,-6.899112117,2.680585989
Feb-16,6.402370644,2.382934066,1.320363728,-3.461105672,0.771878426,1.77766674,6.980915805,1.723482379,4.364058098,3.587304842,1.255125425,1.107438478,2.126393253,8.077838638,17.35064268,1.787655165,3.124525589,0.939922666,1.307512987,2.852327879,2.410611994,4.890198767,2.032124701,1.640048592,4.957046783,,1.863399567,5.334889992,-1.293061407,3.685665706,3.730477372,-4.878081535,5.21816449,-5.941153752,2.5922645
Mar-16,6.306270086,2.428215044,1.396829263,-3.439941242,0.802355284,1.810926503,6.965812536,1.781370092,4.362067854,3.524501334,1.432991978,1.106070012,2.102926985,8.098234851,15.56949002,2.590790191,3.284200414,0.980327245,1.244234559,2.863134032,2.337684136,4.839865353,2.050363446,1.585725808,5.141822954,,1.881237948,5.738287573,-1.123146952,3.479817366,3.540776318,-5.052654016,5.001583886,-4.983195386,2.503943011
Apr-16,6.210169527,2.473496023,1.473294798,-3.418776812,0.832832143,1.844186266,6.950709268,1.839257805,4.360077609,3.461697825,1.610858532,1.104701547,2.079460718,8.118631064,13.78833736,3.393925217,3.443875239,1.020731824,1.180956132,2.873940184,2.264756279,4.78953194,2.068602191,1.531403025,5.326599126,,1.899076328,6.141685153,-0.953232498,3.273969027,3.351075264,-5.227226496,4.785003283,-4.025237021,2.415621523
May-16,6.114068969,2.518777001,1.549760334,-3.397612381,0.863309001,1.877446029,6.935605999,1.897145518,4.358087364,3.398894316,1.788725085,1.103333081,2.055994451,8.139027277,12.00718469,4.197060243,3.603550065,1.061136403,1.117677704,2.884746337,2.191828421,4.739198526,2.086840936,1.477080241,5.511375298,,1.916914708,6.545082733,-0.783318043,3.068120687,3.161374211,-5.401798977,4.568422679,-3.067278656,2.327300034
Jun-16,6.017968411,2.564057979,1.626225869,-3.376447951,0.893785859,1.910705792,6.92050273,1.955033231,4.356097119,3.336090808,1.966591638,1.101964615,2.032528183,8.15942349,10.22603203,5.000195269,3.76322489,1.101540982,1.054399277,2.89555249,2.118900563,4.688865112,2.105079681,1.422757457,5.696151469,,1.934753089,6.948480314,-0.613403588,2.862272348,2.971673157,-5.576371457,4.351842076,-2.10932029,2.238978546
